URL,Title,Content,Category,Source
https://www.standardmedia.co.ke/entertainment,Entertainment News in Kenya,"To personalise content, tailor ads and provide best user experience, we use cookies. By using our site, you agree to use our cookies.

Accept & Continue",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408192/unlock-the-country-kenyans-tells-uhuru,"Unlock the country, Kenyans tells Uhuru","President Uhuru Kenyatta. (File photo)

Six days after President Uhuru Kenyatta announced tough measures in a bid to help control the spread of the Covid-19, stakeholders in the entertainment, tourism, education and hospitality sectors took to the streets calling for their lifting.

Following his announcement, five counties including Nairobi were put under partial lockdown that saw the closure of bars, churches and eateries, and cancellation of events and public gatherings.

On Tuesday, the Internet was abuzz with the news that a woman had tried to take her own life by jumping into oncoming traffic.

“Fortunately, the driver stopped the car kabla amkanyage. Wasee wameenda kumuamsha atoke mbele ya gari akaanza tu kulia man, saying hajui vile ataface watoi when she goes home emptyhanded again (On being pulled up, she started crying, saying she's at a loss as to how she would face her children emptyhanded),” read a post on social media.

“In my opinion, the president is a selfish and an unrealistic person who is completely out of touch with reality. How do you close down entertainment joints and some parts of the country without giving relief measures?” said DJ Creme de la Creme.

The DJ relocated to Kericho after finding himself locked down in the countryside for months following the cessation of movement into and out of Nairobi County last year.

Subscribe to Our Newsletter Subscribe to our newsletter and stay updated on the latest developments and special offers!

Echoing similar sentiments is Bishop Peter Ambuka, who leads the Pentecostal Evangelical Fellowship Africa Church in Kahawa West. In a widely circulated video, the bishop challenged the president on the stringent measures imposed to contain the Covid-19 surge.

“The people of this country have suffered a lot since the pandemic came to this nation. Many have lost their jobs, businesses, livelihoods, matrimonial homes and some of them are living in hopelessness,” said the cleric.

Joining the narrative is gospel artiste Guardian Angel, who was gearing up for an album launch: “It is true that the virus is fatal, but let us not forget that depression and hunger are killers as well and those are some of the issues that will arise as a result of these measures.”

“We cannot ignore the fact that lives are being lost due to the pandemic on a daily basis. But at the same time, if you are to impose a lockdown, at least provide solutions. This was not well-thought-out as there is still confusion surrounding the whole issue,” Pambazuka Entertainment Managing Director Leakey Odera said.",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408189/bushiri-pens-emotional-poem-for-daughter-as-her-body-arrives-in-malawi,Bushiri pens emotional poem for daughter as her body arrives in Malawi,"Shepherd Bushiri.

Self-proclaimed prophet Shepherd Bushiri has penned down a touching poem for his eight-year-old daughter Israella, who died on Monday, March 29.

Attached to the poem written on Facebook were photos of Israella's body at the airport arriving in Malawi with family and church members gathered around to receive her.

In the poem, the Enlightened Christian Gathering pastor described Israella as someone who 'commanded peace' with her laughter despite her short-lived life. Israella Bushiri.

""Whilst your mother and I are welcoming you back home - from where you made your last breath, my heart I pour out to you.

""For a life, though short, lived to the fullest. Glory be for smiles in the midst of disaster and a soul always working for the Master. And how you commanded peace with your laughter.

""For an angel, both on Earth and in Heaven. Glory be for the simplicity of your work. And giving us even more to put our faith in. And going ahead to be our saint in waiting,"" read the poem in part.

Subscribe to Our Newsletter Subscribe to our newsletter and stay updated on the latest developments and special offers!

Dear Israela, Whilst your mother and I are welcoming you back home- from where you made your last breath, my heart I... Posted by Prophet Shepherd Bushiri on Wednesday, March 31, 2021

Israella died in Kenya while receiving treatment for a lung infection. On March 18, Bushiri said his daughter had been hospitalised in the ICU for weeks battling the infection and required a bone marrow donation.

However, the self-proclaimed prophet said Israella, alongside his mother-in-law, was denied entry from Malawi to Kenya the first time she required medical assistance, something which could have prevented his daughter's death, according to the doctor.

""When I spoke to the doctor, he highlighted that if she had not been blocked at the airport the first time she needed to travel to Kenya for medical assistance, she would not have died.

""It is very disheartening and sad, therefore, that my daughter has become a victim of the persecutions that we are facing from South Africa,"" said Bushiri.",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/features/2001408176/celebrities-cringiest-april-fools-that-backfired,Celebrities' cringiest April Fools that backfired,"Celebrities' cringiest April Fools that backfired

April Fools' Day means we can only expect one thing: some majorly cringe-worthy moments on the social media timeline. Of course, this doesn't just extend to our loved ones and personal social circles but also to the world of celeberities.

Whether they are pop stars, Hollywood legends, or television favourites, celebs love to get in on the April Fools' pranks. However, not all of them go down a treat - especially when they involve jokes around emotive issues such as the Covid-19 pandemic or around pregnancies.

So, here's a few April Fools' that backfired or found some negative reception on social media at the time...

Justin Bieber

Now we begin the trends of celebrities announcing pregnancies than turn out to be non-existent.

Pop legend Justin Bieber was at the centre of controversy in 2019 when he shared an uncaptioned image of a baby scan, causing many to think he was expecting a child with his wife Hailey.

Subscribe to Our Newsletter Subscribe to our newsletter and stay updated on the latest developments and special offers!

Despite some well-wishes being sent in, others were doubtful due to the date.

However, as with all pregnancy pranks, the risk of upsetting those who have struggled with having or are unable to have children is high.

Justin and his wife Hailey.

Justin ultimately apologised, penning on Instagram: ""There’s always gonna be people offended, there’s also people who don’t take jokes very well, I am a prankster and it was APRIL FOOLS. I didn’t at all mean to be insensitive to people who can’t have children.

""A lot of people I know, their first go to prank on April fools is telling their parents they are pregnant to get a big reaction. But I will apologize anyway and take responsibility and say sorry to people who were offended. I truly don’t want anyone to be hurt by a prank.. it’s like when I shoved cake in my little sisters face for her birthday expecting her to laugh but she cried.

""You sometimes just don’t know what will hurt someone’s feelings not to compare pregnancy with cake in the face but it’s just to paint the picture of not knowing what will offend. Some might have laughed but some were offended .. I think With pranks u sometimes have to roll that dice. #prankster #dennisthemenace#sorry #truly"".

Gwen Stefani

Of course, Justin is not the first celebrity to use the fake pregnancy prank, with No Doubt songstress Gwen Stefani being another to jump on that bandwagon in the past.

Back in 2016, mother-of-three Gwen shared an image of a sonogram with the caption:""It’s a girl [heart emojis]"".

Naturally, some believed she was expecting with partner Blake Shelton, but ultimately it proved to be an April Fool's prank. Gwen Stefani.

That did not stop the backlash to Gwen's post, however, with one follower penning: ""You think this is so funny. Have a care to women out there that are struggling with infertility. This is NOT an April Fool’s joke. This is some woman’s dream. I expected better from you.""

The post remains on Gwen's Instagram page.

Piers Morgan

Back in 2019 when Piers Morgan was still the co-lead presenter of ITV's Good Morning Britain, he announced on April Fool's Day that he would launching a show to challenge his rival Sir Alan Sugar's classic BBC show The Apprentice.

With a fake title card showing up, Piers said he would be launching ""The Assistant"".

He commented: ""We’re very pleased to announced today that… we've been watching The Apprentice slightly lose its lustre I think over the years. Piers said his show would beat The Apprentice.

""Lord Sugar's looking a little bit old, so we’ve decided to take him on full square, a new commission from ITV. I went to the boss of ITV and said ‘look, I think we should do a new version of The Apprentice, but actually go for the people who really hold the power in this country’.""

He added: ""The Assistant. So here we are, a little teaser for my new series. We’ll have more details as the week goes on. It’s gonna be a big show, I think it will replace The Apprentice.""

However, the tongue-in-cheek skit was swiftly rejected as ""fake"" and ""lame"" by viewers on social media.

It was not the first and wouldn't be the last time that Piers found a negative reception!

Lindsay Lohan

Another fake pregnancy that courted backlash was former child star and fashionista Lindsay Lohan.

Back in 2013 in a now-deleted tweet, LiLo took to Twitter to announce: ""It’s official. Pregnant.""

It was rather late in Lilo's time zone at the time so for many around the world it was already April 2, but many still suspected it to be a gag.

Lindsay addressed the controversy herself by deleting the tweet and then tweeting: ""April Fools. Where's everyone's sense of humor?""

That tweet has since been deleted. Lindsay Lohan.

Kim Jae-joong

Last year, singer Kim Jae-joong, best known as Jaejoong of the Korean pop group JYJ sparked controversy when he joked about being diagnosed with Covid-19.

He had penned on social media that he was ""infected with the Corona 19 virus"" and ""in hospital in Japan"" after ""ignoring the government"" and behaving ""carelessly"".

The story was picked up by news outlets and fans of Jaejoong took to his social media accounts flooding the comments sections for answers.

However, when the truth came out, the singer deleted the post and took to social media to ""sincerely apologise"" for causing concern.

""It was not right - I know that,"" he penned, according to BBC News.

He then promoted the need to take precautions aroudn the virus, with Jaejoong adding: ""I just wanted to deliver a message that we should all be aware of the risk to minimise the number of victims.""",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408172/nipsey-hussles-girlfriend-pens-moving-tribute-to-mark-anniversary-of-tragic-death,Nipsey Hussle's girlfriend pens moving tribute to mark anniversary of tragic death,"Lauren London and Nipsey Hussle.

Nipsey Hussle's girlfriend Lauren London led the tributes and fans, friends and celebrities paid their respect on the second anniversary of the rapper's death.

The community builder was murdered outside of his clothing store in Los Angeles on March 31, 2019 at the age of 33.

And partner Lauren London took to Instagram on Wednesday to pay her respect.

She wrote: ""In Honor of His life and demonstration… May all of Heaven exalt Your name for all You did on Earth and beyond. Brave and Beloved Soul, Ermias. You are missed deeply. You are loved immensely. You will forever be. I love you eternally. Your Boogie.""

Fans of the pair shared their appreciation at the post with some saying it gave them ""chills"".

Subscribe to Our Newsletter Subscribe to our newsletter and stay updated on the latest developments and special offers!

Others were quick to share previous posts Lauren had penned telling them to appreciate the time you have with someone.

Celebrities including Tamera Mowry, Teyana Taylor, Larenz Tate and Kofi Siriboe also reacted to the moving post. Lauren and Nipsey Hussle - whose real name was Ermias Asghedom - were together since 2014 and had a son together called Cross.

The pair both had children from previous relationships, with Lauren have son Kameron with Lil Wayne and Nipsey having a daughter called Emani.

Other celebrities shared their own posts in reference to the singer's death.

Basketball star LeBron James took to Twitter to honour the star, writing: ""Would you rather be at war with yourself and at peace with the world or at peace with yourself and at war with the world!?!? #LLNH @NipseyHussle""

The death of the talented lyricist shocked the hip-hop world. The star had also set up ways to help give back to the community.

Nipsey and private equity investor Dave Gross had partnered on a STEM education centre in South Los Angeles called Too Big to Fail.

The centre was set up to be a ""bridge between Silicon Valley and the inner-city"".",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408169/top-kenyan-universities-that-attract-the-most-foreign-students,Top Kenyan universities that attract the most foreign students,"Nairobi university attracts the most foreign students.

Kenyan universities that attract foreign students have been revealed in a new report that also exposes the competitiveness of the institutions of higher learning.

It is emerging that the reputation and global ranking of the universities, the cost of programmes they teach, quality of education and ease of accessing accommodation are some of the factors that attract foreign students.

Location of the university, type and duration of the courses offered, clearly defined academic calendar, cost of living and availability of international students’ support desk in the respective universities also influence foreigners’ choices.

The details are contained in a report by CPS Research International that will be launched today. CPS Research International is a market and social research company registered in Kenya, and which has cut a niche for specialised research in Africa.

“International students preferred some universities to others because of high quality of education, affordability aspects, high global ranking, great culture, holistic education, good placement and internship offers,” reads the report.

Overall, the state of national security, immigration rules, culture of the country and ease of getting employed influence students’ choice to study in Kenya.

Subscribe to Our Newsletter Subscribe to our newsletter and stay updated on the latest developments and special offers!

The University of Nairobi has the highest number of foreigners, with nearly 1,300 international students enrolled.

United States International University (USIU) is second with 1,100 students, Strathmore University third with 660 while Mount Kenya University (MKU) is fourth with 560 such learners.

Kenyatta University closes the top five universities with international appeal with 472 students enrolled.

Moi University is sixth with 322, Jomo Kenyatta University of Agriculture and Technology (JKUAT) with 300, Catholic University of Eastern Africa (CUEA) is eighth with 255 while Egerton University is at position nine with 130 foreign learners.

Maseno University is tenth with 119 students.

Overall, there are 6,202 foreign students in universities.

The study that was conducted between January and February targeted international university students and administrators in 71 institutions.

Ugandans constitute the highest number of foreign students in the mentioned institutions, according to the study. The next big groups come from South Sudan, Tanzania, Somalia and Nigeria in that order.

The others are spread across Burundi, the Democratic Republic of Congo, Rwanda, Malawi and Zimbabwe.

“Most of them are young adults in the age bracket of 18-24 years at 54.1 per cent, and undertaking undergraduate courses,” reads the report.

The majority of these students study business and economics, engineering, medical studies, teacher training and education, natural science and ICT.

Law and other social and behavioural sciences, humanities, media and journalism are some of the other courses of study.

The findings are expected to shape how the universities will position themselves in the globally competitive education field.

With a projected increase in international student numbers to 8 million by 2025, according to the Organisation for Economic Cooperation and Development, the value of attracting international students to host economies remains high.

Five best choices

According to the statistics, University of Nairobi, Kenyatta University, Moi University, JKUAT and Egerton University are the top five best choices for international students.

In the private universities category, the foreigners prefer USIU, Strathmore University, Mount Kenya University, Catholic University of Eastern Africa and Management University of Africa.

In terms of satisfaction, the students enrolled in Strathmore were the happiest at 65.05 per cent followed by those in the University of Nairobi at 63.05 per cent. Students at Kenyatta University were third most satisfied (62.05 per cent), followed by Aga Khan University at 57.05 per cent.

MKU was ranked fourth at 57.05 per cent, followed by USIU at 54.05 per cent, JKUAT (51.85 per cent), Egerton University (50.35 per cent), Africa Nazarene University (50.05 per cent) and Moi University (44.05 per cent).",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408161/new-amy-winehouse-film-to-mark-10-years-since-singers-death,New Amy Winehouse film to mark 10 years since singer's death,"New Amy Winehouse film to mark 10 years since singer's death. (Reuters)

A new documentary about Amy Winehouse, in which her mother will share details about her late daughter’s life, will be released in July, marking 10 years since the British singer’s death at age 27.

“Amy Winehouse: 10 Years On”, commissioned by Britain’s BBC Two and BBC Music, will be told through the narrative of the “Rehab” and “Back to Black” singer’s mother Janis, who has multiple sclerosis and wants to share her memories, the broadcaster said.

It described Janis as “a figure close to Amy whom we have yet to hear a lot from and whose version of events often differs from the narrative we have been told before”.

“I don’t feel the world knew the true Amy, the one that I brought up, and I’m looking forward to the opportunity to offer an understanding of her roots and a deeper insight into the real Amy,” Janis Winehouse said in a statement on Wednesday.

Winehouse, a Grammy Award winner, died from alcohol poisoning at her London home in July 2011. She had struggled with drinking and drug problems through much of her career. Amy Winehouse.

The documentary will feature previously unseen family archive material, the BBC said. “Janis will be aided by family, friends and those who knew Amy best to piece together the side of Amy rarely seen,” it said.

Subscribe to Our Newsletter Subscribe to our newsletter and stay updated on the latest developments and special offers!

“The film will be a powerful and sensitive account of one of Britain’s best-loved and greatly-missed musical talents, offering a new female-driven interpretation of her life, her loves and her legacy.”

A 2015 documentary “AMY” about Winehouse won director Asif Kapadia an Oscar, although at the time the singer’s father Mitch Winehouse called it misleading and said the family had disassociated itself from the film.",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408160/brit-awards-2021-female-acts-lead-nominations-after-ceremony-slammed-for-male-dominance,Brit Awards 2021: Female acts lead nominations after ceremony slammed for male dominance,"This year’s Brit Awards is dominated by women. (Courtesy)

This year’s Brit Awards is dominated by women with Dua Lipa, Arlo Parks and Celeste receiving three nominations each.

All three artists receive nods in the coveted Mastercard Album of the year category - in stark contrast to last year’s ceremony, where the category was criticised for only featuring men.

For the first time in the history of the Brit Awards, 4/5 of the Album of the year nominees are female, with Jessie Ware’s What’s Your Pleasure also in the running.

J Hus is the only male contender with Big Conspiracy.

Dua Lipa’s Future Nostalgia, Celeste’s Not Your Muse and Arlo Parks’ Collapsed in Sunbeams will compete for the honour at the May 11th ceremony, held at London’s O2. Jessie Ware and Lianne La Havas are also nominated in the Female Solo Artist category.

The Male Solo Artist nominees this year are AJ Tracey, Headie One, J Hus, Joel Corry and Yungblud.

Young T & Bugsey and Joel Corry also have three nominations apiece.

At last year’s Brits, the Album of the year category featured entirely male nominees, and was won by rapper Dave.

Singer Mabel was the only female artist nominated in mixed gender categories in 2020 - a shortlist of 25 slots.

The British Group nominees were also all men in 2020, prompting winners Foals to say on stage while collecting their award: “Hopefully next year we’ll see some more women in this category.”

Female trio Little Mix feature in the 2021 British Group nominees amongst the otherwise male lineup of Bicep, Biffy Clyro, The 1975 and Young T & Bugsey. Little Mix.

It comes after organisers decided against combining gendered categories, after previous winner Sam Smith said they identified as non-binary.

There were suggestions of merging the male and female categories, but critics included former Good Morning Britain host Piers Morgan, who said women would lose recognition at the male-dominated ceremony.

Dua Lipa and Brits Rising Star winner Griff will perform at this year’s event.

Dua Lipa, who has previously won three Brit Awards, said: “I am so excited to be returning to perform for you all at The BRITs this year. It’s going to be truly special to be back on stage in the UK.”

Singer Griff, who hosted the nominations announcement alongside Nick Grimshaw, said: “Guys, pray for me!! I’m going to be in a room full of the biggest and best artists in the world, singing my little heart out. I can’t wait!!!!”",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/author/mirror,Mirror : Standard Entertainment,"To personalise content, tailor ads and provide best user experience, we use cookies. By using our site, you agree to use our cookies.

Accept & Continue",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
https://www.standardmedia.co.ke/entertainment/showbiz/2001408159/vanessa-bryant-in-tears-as-daughter-natalia-makes-dad-kobe-proud-of-latest-achievement,Vanessa Bryant in tears as daughter Natalia makes dad Kobe 'proud' of latest achievement,"Vanessa Bryant and her daughter Natalia.

Vanessa Bryant was left in tears after her daughter Natalia was accepted to her ""dream university"" University of Southern California.

The mum-of-four suffered unimaginable heartbreak last year when her LA Lakers star husband Kobe Bryant and their daughter Gigi, 13, were killed in a helicopter crash on January 26.

Vanessa has won huge respect and support from fans as she remains strong for her daughters Bianka, Capri and Natalia and keeps Kobe's memory alive.

And it seems as though the family has now received some great news that has managed to put a smile on their faces since the tragedy.

Rushing to Instagram, proud mum Vanessa cried tears of joy as Natalia, 18, got into USC - considered to be one of the most prestigious universities in the US.

""I got in, I got in,"" Natalia could be heard screaming in the heartwarming clip as she jumped up and down.

Sharing her pride over her eldest daughter's news, Vanessa said Natalia's basketball star dad Kobe would be proud of her.

""Tears of joy. I'm SO happy for you Nani! I know daddy is so PROUD OF YOU. I am so PROUD OF YOU,"" she wrote.

""Your hard work and dedication was so worth it. You pushed through the most excruciating pain imaginable and you succeeded. I wish Daddy and Gigi were physically here to celebrate but I know they're here in spirit. We love you so much! #USC #Trojan #FightOn.""

In a separate post, the proud mum wrote: ""Congratulations Nani Banani!!!!!! If you wouldn’t have been accepted I would’ve had to have stabbed these balloons in the guest room and have thrown all this away.

""Thank goodness you got in I had these shoes made for @nataliabryant in hopes she’d get in to her top school Daddy and Gigi are ALWAYS here. Forever and always Principessa.""

Vanessa has kept the memory of her loved ones alive with a number of touching messages and posts on social media.

Kobe and Gigi were two of nine people to be killed when their helicopter crashed in Calabasas in January last year.

The others killed in the horror crash included 13-year-old Payton Chester, Sarah Chester, 46, 14-year-old Alyssa Altobelli, Keri Altobelli, 46, John Altobelli, 56, Christina Mauser, 38, and 50-year-old pilot Ara Zobayan.

The group were travelling near Calabasas, Los Angeles when the chopper crashed into a hillside during heavy fog.",Arts/Culture/Celebrities,https://www.standardmedia.co.ke/
